date,hour,day,sales,week
2020-01-01,9,Wednesday,1,1
2020-01-01,10,Wednesday,0,1
2020-01-01,11,Wednesday,0,1
2020-01-01,12,Wednesday,0,1
2020-01-01,13,Wednesday,0,1
2020-01-01,14,Wednesday,0,1
2020-01-01,15,Wednesday,0,1
2020-01-01,16,Wednesday,0,1
2020-01-01,17,Wednesday,0,1
2020-01-01,18,Wednesday,0,1
2020-01-01,19,Wednesday,0,1
2020-01-01,20,Wednesday,0,1
2020-01-02,9,Thursday,1,1
2020-01-02,10,Thursday,0,1
2020-01-02,11,Thursday,0,1
2020-01-02,12,Thursday,0,1
2020-01-02,13,Thursday,0,1
2020-01-02,14,Thursday,0,1
2020-01-02,15,Thursday,0,1
2020-01-02,16,Thursday,0,1
2020-01-02,17,Thursday,0,1
2020-01-02,18,Thursday,0,1
2020-01-02,19,Thursday,0,1
2020-01-02,20,Thursday,0,1
2020-01-03,9,Friday,1,1
2020-01-03,10,Friday,0,1
2020-01-03,11,Friday,0,1
2020-01-03,12,Friday,0,1
2020-01-03,13,Friday,0,1
2020-01-03,14,Friday,0,1
2020-01-03,15,Friday,0,1
2020-01-03,16,Friday,0,1
2020-01-03,17,Friday,0,1
2020-01-03,18,Friday,0,1
2020-01-03,19,Friday,0,1
2020-01-03,20,Friday,0,1
2020-01-04,9,Saturday,0,1
2020-01-04,10,Saturday,1,1
2020-01-04,11,Saturday,0,1
2020-01-04,12,Saturday,0,1
2020-01-04,13,Saturday,0,1
2020-01-04,14,Saturday,0,1
2020-01-04,15,Saturday,0,1
2020-01-04,16,Saturday,0,1
2020-01-04,17,Saturday,0,1
2020-01-04,18,Saturday,0,1
2020-01-04,19,Saturday,0,1
2020-01-04,20,Saturday,0,1
2020-01-05,9,Sunday,2,1
2020-01-05,10,Sunday,1,1
2020-01-05,11,Sunday,1,1
2020-01-05,12,Sunday,1,1
2020-01-05,13,Sunday,0,1
2020-01-05,14,Sunday,0,1
2020-01-05,15,Sunday,0,1
2020-01-05,16,Sunday,1,1
2020-01-05,17,Sunday,1,1
2020-01-05,18,Sunday,0,1
2020-01-05,19,Sunday,1,1
2020-01-05,20,Sunday,0,1
2020-01-06,9,Monday,1,1
2020-01-06,10,Monday,1,1
2020-01-06,11,Monday,1,1
2020-01-06,12,Monday,1,1
2020-01-06,13,Monday,1,1
2020-01-06,14,Monday,1,1
2020-01-06,15,Monday,1,1
2020-01-06,16,Monday,1,1
2020-01-06,17,Monday,1,1
2020-01-06,18,Monday,1,1
2020-01-06,19,Monday,2,1
2020-01-06,20,Monday,1,1
2020-01-07,9,Tuesday,3,1
2020-01-07,10,Tuesday,1,1
2020-01-07,11,Tuesday,5,1
2020-01-07,12,Tuesday,1,1
2020-01-07,13,Tuesday,1,1
2020-01-07,14,Tuesday,1,1
2020-01-07,15,Tuesday,0,1
2020-01-07,16,Tuesday,1,1
2020-01-07,17,Tuesday,0,1
2020-01-07,18,Tuesday,1,1
2020-01-07,19,Tuesday,1,1
2020-01-07,20,Tuesday,0,1
2020-01-08,9,Wednesday,1,2
2020-01-08,10,Wednesday,1,2
2020-01-08,11,Wednesday,1,2
2020-01-08,12,Wednesday,1,2
2020-01-08,13,Wednesday,1,2
2020-01-08,14,Wednesday,3,2
2020-01-08,15,Wednesday,1,2
2020-01-08,16,Wednesday,1,2
2020-01-08,17,Wednesday,1,2
2020-01-08,18,Wednesday,0,2
2020-01-08,19,Wednesday,3,2
2020-01-08,20,Wednesday,0,2
2020-01-09,9,Thursday,0,2
